stationid,lat,lon
05206060,39.8900409,139.8502469
05208010,39.4508865,140.4786818
06201090,38.2702593,140.3406186
06201110,38.2119309,140.3160787
06201510,38.2693603,140.3622751
06202010,37.919914,140.1138229
06203010,38.7393017,139.8270664
06204020,38.9314068,139.834362
06204040,38.9476532,139.8918104
06204050,38.9133111,139.8490822
06205010,38.7574861,140.298662
06206010,38.3907689,140.2773842
06208010,38.4736,140.3988015
06209010,38.1106376,140.0345225
06422010,38.8458511,139.9036941
06461010,39.0131088,139.9181269
07201180,37.7764493,140.4906747
07201190,37.7404417,140.4632759
07201200,37.7669513,140.4494813
07201510,37.7670049,140.4781183
07202070,37.493881,139.926216
07203130,37.3908901,140.3965261
07203140,37.392156,140.3790658
07203150,37.4480471,140.3930366
07203170,37.4177316,140.3900977
07203180,37.35591489999999,140.3646879
07203520,37.393563,140.3423574
07204020,36.8949834,140.781943
07204030,36.9131278,140.7721917
07204070,36.9398958,140.8638763
07204090,36.953204,140.8698807
07204110,36.9633773,140.8931114
07204160,36.9465216,140.8783192
07204170,36.92895439999999,140.8201018
07204210,37.0584359,140.8857179
07204510,37.0543046,140.9000993
07204720,37.0031202,140.9173426
07204730,37.0038675,140.8487518
07204740,37.094391,140.9654196
07205050,37.1216944,140.2209421
07206050,37.639986,140.950396
07207010,37.2859625,140.3715715
07208090,37.6584116,139.8742433
07209080,37.80443,140.919307
07210010,37.5848237,140.4300891
07368010,37.20122480000001,139.7813093
07466010,37.2012581,140.338608
07481010,37.0232356,140.3766162
07541010,37.2190082,140.9901618
07542010,37.26553970000001,140.9975558
07543010,37.3593652,140.9946837
07546010,37.4412907,141.0054318
07561020,37.8731716,140.9132984
07563010,37.6422006,140.957261
08201030,36.3927472,140.4262903
08201040,36.3300825,140.4980362
08201510,36.3811109,140.4584385
08202020,36.6012537,140.6501965
08202050,36.5576566,140.6258907
08202200,36.4952752,140.5822382
08203010,36.0707298,140.1909326
08203520,36.0427672,140.1671688
08204010,36.2040503,139.7155912
08205020,36.2034416,140.284938
08206010,36.3096848,139.9765615
08208010,35.9072244,140.1930039
08210010,36.1842223,139.9602831
08211010,36.0342626,139.9920425
08212010,36.5248394,140.5176525
08213010,36.3965854,140.5346664
08214010,36.7152097,140.7116968
08215010,36.7799923,140.7342926
08216010,36.3857574,140.2369586
08217010,35.9110671,140.0495324
08220010,36.1041017,140.0375656
08221010,36.40157,140.5022803
08302010,36.314559,140.4178973
08341010,36.4339475,140.6223267
08342010,36.4473368,140.5077779
08344010,36.555081,140.4021967
08402010,36.1595964,140.5167529
08405010,35.9644771,140.6229747
